seed,random_score,greedy_score,planned_score
0,513,619,645
1,557,549,726
2,567,536,687
3,451,474,627
4,531,528,597
5,413,543,658
6,398,518,613
7,493,653,721
8,402,498,636
9,506,604,714
10,373,487,599
11,527,599,700
12,401,632,709
13,462,512,598
14,574,589,667
15,450,529,695
16,446,506,545
17,435,565,635
18,542,492,649
19,436,495,677
20,371,502,519
21,604,617,722
22,402,516,597
23,424,532,548
24,555,556,688
25,395,560,672
26,442,515,584
27,418,534,646
28,333,529,527
29,414,485,574
30,350,577,571
31,367,533,597
32,557,572,692
33,467,603,697
34,475,526,616
35,487,565,696
36,534,492,667
37,531,609,714
38,416,503,527
39,558,626,703
40,439,490,553
41,299,480,559
42,512,512,611
43,489,499,709
44,488,527,683
45,425,525,639
46,589,660,742
47,432,477,599
48,337,458,594
49,439,488,574
50,502,524,661
51,406,449,535
52,396,508,455
53,407,480,576
54,533,596,740
55,475,525,713
56,419,501,619
57,478,489,549
58,604,625,664
59,378,537,708
60,492,484,639
61,430,508,588
62,398,511,674
63,536,552,690
64,429,528,596
65,480,541,672
66,576,658,733
67,550,521,703
68,502,556,641
69,407,592,659
70,478,503,620
71,557,547,695
72,520,547,670
73,484,523,575
74,503,529,661
75,440,546,671
76,364,502,576
77,444,526,543
78,489,502,629
79,461,486,626
80,566,523,645
81,587,617,710
82,343,470,587
83,564,577,716
84,526,512,569
85,431,450,565
86,496,551,567
87,424,521,639
88,481,569,697
89,412,542,653
90,576,635,739
91,486,469,503
92,460,460,499
93,452,468,559
94,405,516,577
95,470,494,675
96,549,593,732
97,367,535,685
98,382,526,560
99,566,542,686
